Cidade,Estado,Sigla
Formoso,Minas Gerais,MG
Fortaleza de Minas,Minas Gerais,MG
Fortuna de Minas,Minas Gerais,MG
Francisco Badaró,Minas Gerais,MG
Francisco Dumont,Minas Gerais,MG
Francisco Sá,Minas Gerais,MG
Franciscópolis,Minas Gerais,MG
Frei Gaspar,Minas Gerais,MG
Frei Inocêncio,Minas Gerais,MG
Frei Lagonegro,Minas Gerais,MG
Fronteira,Minas Gerais,MG
Fronteira dos Vales,Minas Gerais,MG
Fruta de Leite,Minas Gerais,MG
Frutal,Minas Gerais,MG
Funilândia,Minas Gerais,MG
Galiléia,Minas Gerais,MG
Gameleiras,Minas Gerais,MG
Glaucilândia,Minas Gerais,MG
Goiabeira,Minas Gerais,MG
Goianá,Minas Gerais,MG
Gonçalves,Minas Gerais,MG
Gonzaga,Minas Gerais,MG
Gouveia,Minas Gerais,MG
Governador Valadares,Minas Gerais,MG
Grão Mogol,Minas Gerais,MG
Grupiara,Minas Gerais,MG
Guanhães,Minas Gerais,MG
Guapé,Minas Gerais,MG
Guaraciaba,Minas Gerais,MG
Guaraciama,Minas Gerais,MG
Guaranésia,Minas Gerais,MG
Guarani,Minas Gerais,MG
Guarará,Minas Gerais,MG
Guarda-Mor,Minas Gerais,MG
Guaxupé,Minas Gerais,MG
Guidoval,Minas Gerais,MG
Guimarânia,Minas Gerais,MG
Guiricema,Minas Gerais,MG
Gurinhatã,Minas Gerais,MG
Heliodora,Minas Gerais,MG
Iapu,Minas Gerais,MG
Ibertioga,Minas Gerais,MG
Ibiá,Minas Gerais,MG
Ibiaí,Minas Gerais,MG
Ibiracatu,Minas Gerais,MG
Ibiraci,Minas Gerais,MG
Ibirité,Minas Gerais,MG
Ibitiúra de Minas,Minas Gerais,MG
Ibituruna,Minas Gerais,MG
Icaraí de Minas,Minas Gerais,MG
Igarapé,Minas Gerais,MG
Igaratinga,Minas Gerais,MG
Iguatama,Minas Gerais,MG
Ijaci,Minas Gerais,MG
Ilicínea,Minas Gerais,MG
Imbé de Minas,Minas Gerais,MG
